Conso,REG
5.565031882280807,28
5.48982342177493,75
5.302362173038229,44
5.5834691740984885,76
5.149187603993345,32
5.208381623071765,53
6.715566834170857,93
5.711694333599362,52
5.664949728752261,11
5.03324074074074,27
5.8633033586132175,24
5.715464443788731,84
